FID,PlotID,EstablishD,Easting,Northing,PlotKey,Forb_herb,Graminoid,HL,None,Shrub,Subshrub,Tree,WL,RASTERVALU
13,SS02,2015-06-16T06:00:00Z,174171.000000000000000,4226990.000000000000000,1508051204500000.000000000000000,0.08,0.29333333333333333,0.613333333333000,0.220000000000000,0.21333333333333335,0.04666666666666667,NA,0.013333333333333334,0.000000000000000
14,WM01,2015-06-17T06:00:00Z,170287.000000000000000,4228899.000000000000000,1508051212510000.000000000000000,0.006666666666666667,0.24666666666666667,0.460000000000000,0.393333333333000,0.2866666666666667,NA,NA,0.02,-9999.000000000000000
15,EM01,2015-06-17T06:00:00Z,173664.000000000000000,4232060.000000000000000,1508051218150000.000000000000000,0.08,0.3666666666666667,0.673333333333000,0.160000000000000,0.11333333333333333,0.03333333333333333,NA,0.09333333333333334,0.000000000000000
16,10_GUSG_CONTROL,2016-06-15T06:00:00Z,187112.000000000000000,4216492.000000000000000,1606201300300000.000000000000000,0.060000000000000005,0.19333333333333336,0.526666666667000,0.360000000000000,0.17333333333333334,0.02666666666666667,NA,0.04,0.000000000000000
17,3_GUSG_CONTROL,2016-06-14T06:00:00Z,176288.000000000000000,4222685.000000000000000,1606280717270000.000000000000000,0.013333333333333334,0.22,0.486666666667000,0.346666666667000,0.20666666666666667,0.03333333333333333,NA,0.05333333333333334,0.000000000000000
18,14_GROUSEPR,2016-06-15T06:00:00Z,177663.000000000000000,4223372.000000000000000,1606280946050000.000000000000000,0.07333333333333333,0.2733333333333333,0.486666666667000,0.313333333333000,0.35333333333333333,0.006666666666666667,NA,0.05333333333333334,0.000000000000000
19,3_GROUSEPR,2016-06-15T06:00:00Z,190178.000000000000000,4214869.000000000000000,1606281439600000.000000000000000,0.03333333333333333,0.35333333333333333,0.686666666667000,0.200000000000000,0.07333333333333333,0.12,NA,0.05333333333333334,0.000000000000000
20,4_GROUSEPR,2016-06-15T06:00:00Z,189088.000000000000000,4215592.000000000000000,1606281607270000.000000000000000,0.060000000000000005,0.09333333333333334,0.273333333333000,0.386666666667000,0.13333333333333333,0.16666666666666666,NA,0.11333333333333333,0.000000000000000
21,6_GROUSEPR,2016-06-13T06:00:00Z,184840.000000000000000,4217673.000000000000000,1606291521260000.000000000000000,0.006666666666666667,0.006666666666666667,0.386666666667000,0.526666666667000,0.2866666666666667,0.03333333333333333,NA,0.006666666666666667,0.000000000000000
22,7_GROUSEPR,2016-06-06T06:00:00Z,189088.000000000000000,4215592.000000000000000,1606291533380000.000000000000000,0.013333333333333334,0.006666666666666667,0.486666666667000,0.466666666667000,0.23333333333333334,0.07333333333333333,NA,0.006666666666666667,0.000000000000000
23,8_GROUSEPR,2016-06-06T06:00:00Z,182885.000000000000000,4218473.000000000000000,1606301437020000.000000000000000,0.006666666666666667,0.08,0.293333333333000,0.400000000000000,0.33333333333333337,0.11333333333333334,NA,0.02666666666666667,0.000000000000000
24,9_GROUSEPR,2016-06-06T06:00:00Z,182521.000000000000000,4218966.000000000000000,1607111014150000.000000000000000,0.17333333333333334,0.49333333333333335,0.706666666667000,0.106666666667000,0.11333333333333333,NA,NA,0.02,0.000000000000000
25,10_GROUSEPR,2016-06-09T06:00:00Z,179753.000000000000000,4221541.000000000000000,1607111146580000.000000000000000,0.07333333333333333,0.06666666666666667,0.233333333333000,0.640000000000000,0.1,0.05333333333333334,NA,0.013333333333333334,0.000000000000000
26,11_GROUSEPR,2016-06-07T06:00:00Z,178672.000000000000000,4222119.000000000000000,1607111240210000.000000000000000,0.03333333333333333,NA,0.253333333333000,0.673333333333000,0.02666666666666667,0.1,NA,NA,0.000000000000000
27,12_GROUSEPR,2016-06-14T06:00:00Z,174158.000000000000000,4222879.000000000000000,1607111328230000.000000000000000,0.19333333333333333,0.3666666666666667,0.420000000000000,0.306666666667000,0.22,0.04,NA,0.05333333333333334,0.000000000000000
28,13_GROUSEPR,2016-06-15T06:00:00Z,176576.000000000000000,4223338.000000000000000,1607111428410000.000000000000000,0.04,0.18,0.446666666667000,0.413333333333000,0.3133333333333333,0.04666666666666667,NA,0.013333333333333334,0.000000000000000
29,1_GUSG_CONTROL,2016-06-14T06:00:00Z,178698.000000000000000,4219907.000000000000000,1607111528250000.000000000000000,0.02666666666666667,0.4866666666666667,0.480000000000000,0.233333333333000,0.12666666666666665,NA,NA,0.02666666666666667,0.000000000000000
30,2_GUSG_CONTROL,2016-06-15T06:00:00Z,185757.000000000000000,4218365.000000000000000,1607111630030000.000000000000000,0.03333333333333333,0.25333333333333335,0.346666666667000,0.486666666667000,0.22666666666666668,NA,NA,0.02666666666666667,0.000000000000000
31,4_GUSG_CONTROL,2016-06-14T06:00:00Z,182334.000000000000000,4220418.000000000000000,1607130836560000.000000000000000,0.02,0.2733333333333333,0.253333333333000,0.446666666667000,0.19333333333333333,0.03333333333333333,NA,0.013333333333333334,198.943679809999990
32,5_GUSG_CONTROL,2016-06-14T06:00:00Z,177824.000000000000000,4222215.000000000000000,1607141548240000.000000000000000,0.07333333333333333,NA,0.360000000000000,0.466666666667000,0.32666666666666666,0.04,NA,0.02666666666666667,0.000000000000000
